,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
102,21,3,512,256,128,0.5,2,3,0 days 00:00:00.016563,0 days 00:00:08.402028,67.0,53.0,11,0 days 00:00:00.059494,0 days 00:00:00.261841,0 days 00:00:00.001547
103,21,3,512,256,128,0.5,2,4,0 days 00:00:00.016563,0 days 00:00:39.004006,45.0,60.0,41,0 days 00:00:00.067913,0 days 00:00:00.268888,0 days 00:00:00.001447
104,21,3,512,256,128,0.5,2,5,0 days 00:00:00.016563,0 days 00:00:14.986192,70.0,60.0,16,0 days 00:00:00.070237,0 days 00:00:00.266522,0 days 00:00:00.001444
105,22,3,512,256,128,0.5,3,1,0 days 00:00:00.016563,0 days 00:00:49.684826,69.0,72.0,44,0 days 00:00:00.068199,0 days 00:00:00.271972,0 days 00:00:00.002932
106,22,3,512,256,128,0.5,3,2,0 days 00:00:00.016563,0 days 00:00:40.771517,39.0,62.0,37,0 days 00:00:00.058829,0 days 00:00:00.267364,0 days 00:00:00.002822
107,22,3,512,256,128,0.5,3,3,0 days 00:00:00.016563,0 days 00:01:09.762027,46.0,65.0,66,0 days 00:00:00.064969,0 days 00:00:00.270543,0 days 00:00:00.002945
108,22,3,512,256,128,0.5,3,4,0 days 00:00:00.016563,0 days 00:00:37.723509,29.0,59.0,33,0 days 00:00:00.050662,0 days 00:00:00.274300,0 days 00:00:00.003000
109,22,3,512,256,128,0.5,3,5,0 days 00:00:00.016563,0 days 00:00:43.891165,12.0,54.0,36,0 days 00:00:00.070310,0 days 00:00:00.266536,0 days 00:00:00.003067
110,23,3,512,256,128,0.5,5,1,0 days 00:00:00.016563,0 days 00:00:56.061993,68.0,73.0,40,0 days 00:00:00.061473,0 days 00:00:00.274262,0 days 00:00:00.007423
111,23,3,512,256,128,0.5,5,2,0 days 00:00:00.016563,0 days 00:01:26.476744,70.0,72.0,65,0 days 00:00:00.066853,0 days 00:00:00.287001,0 days 00:00:00.007489
112,23,3,512,256,128,0.5,5,3,0 days 00:00:00.016563,0 days 00:00:57.611063,47.0,65.0,37,0 days 00:00:00.072832,0 days 00:00:00.275641,0 days 00:00:00.007355
113,23,3,512,256,128,0.5,5,4,0 days 00:00:00.016563,0 days 00:00:57.528978,50.0,66.0,41,0 days 00:00:00.061487,0 days 00:00:00.275826,0 days 00:00:00.007433
114,23,3,512,256,128,0.5,5,5,0 days 00:00:00.016563,0 days 00:00:58.292979,27.0,57.99999999999999,37,0 days 00:00:00.073413,0 days 00:00:00.273402,0 days 00:00:00.007438
115,24,3,512,256,128,0.5,7,1,0 days 00:00:00.016563,0 days 00:01:15.437244,75.0,76.0,36,0 days 00:00:00.068520,0 days 00:00:00.299554,0 days 00:00:00.014115
116,24,3,512,256,128,0.5,7,2,0 days 00:00:00.016563,0 days 00:01:08.875710,73.0,68.0,32,0 days 00:00:00.066019,0 days 00:00:00.285222,0 days 00:00:00.014186
117,24,3,512,256,128,0.5,7,3,0 days 00:00:00.016563,0 days 00:01:10.330505,74.0,71.0,33,0 days 00:00:00.068564,0 days 00:00:00.282631,0 days 00:00:00.014450
118,24,3,512,256,128,0.5,7,4,0 days 00:00:00.016563,0 days 00:01:18.406275,72.0,74.0,37,0 days 00:00:00.077718,0 days 00:00:00.311746,0 days 00:00:00.014308
119,24,3,512,256,128,0.5,7,5,0 days 00:00:00.016563,0 days 00:01:21.466525,60.0,70.0,40,0 days 00:00:00.062053,0 days 00:00:00.303391,0 days 00:00:00.014125
120,25,3,512,256,192,0.25,2,1,0 days 00:00:00.013147,0 days 00:00:55.749714,71.0,74.0,65,0 days 00:00:00.068036,0 days 00:00:00.271993,0 days 00:00:00.001001
121,25,3,512,256,192,0.25,2,2,0 days 00:00:00.013147,0 days 00:00:10.387904,66.0,53.0,14,0 days 00:00:00.072971,0 days 00:00:00.265216,0 days 00:00:00.001026
122,25,3,512,256,192,0.25,2,3,0 days 00:00:00.013147,0 days 00:00:06.722309,66.0,51.0,11,0 days 00:00:00.067545,0 days 00:00:00.263393,0 days 00:00:00.001008
123,25,3,512,256,192,0.25,2,4,0 days 00:00:00.013147,0 days 00:00:11.607462,68.0,64.0,16,0 days 00:00:00.060012,0 days 00:00:00.295131,0 days 00:00:00.001062
124,25,3,512,256,192,0.25,2,5,0 days 00:00:00.013147,0 days 00:00:22.185357,6.0,52.0,24,0 days 00:00:00.073620,0 days 00:00:00.268229,0 days 00:00:00.001033
125,26,3,512,256,192,0.25,3,1,0 days 00:00:00.013147,0 days 00:00:35.571793,25.0,57.99999999999999,31,0 days 00:00:00.061086,0 days 00:00:00.266147,0 days 00:00:00.001938
126,26,3,512,256,192,0.25,3,2,0 days 00:00:00.013147,0 days 00:00:13.792709,67.0,53.0,17,0 days 00:00:00.060120,0 days 00:00:00.273539,0 days 00:00:00.002051
127,26,3,512,256,192,0.25,3,3,0 days 00:00:00.013147,0 days 00:01:17.351296,76.0,77.0,80,0 days 00:00:00.050181,0 days 00:00:00.268571,0 days 00:00:00.001923
128,26,3,512,256,192,0.25,3,4,0 days 00:00:00.013147,0 days 00:00:26.849255,53.0,66.0,33,0 days 00:00:00.046682,0 days 00:00:00.274399,0 days 00:00:00.001983
129,26,3,512,256,192,0.25,3,5,0 days 00:00:00.013147,0 days 00:00:09.040950,67.0,54.0,13,0 days 00:00:00.052397,0 days 00:00:00.267410,0 days 00:00:00.002028
130,27,3,512,256,192,0.25,5,1,0 days 00:00:00.013147,0 days 00:00:36.413007,72.0,65.0,32,0 days 00:00:00.060152,0 days 00:00:00.274878,0 days 00:00:00.005014
131,27,3,512,256,192,0.25,5,2,0 days 00:00:00.013147,0 days 00:00:26.542237,30.0,59.0,25,0 days 00:00:00.053754,0 days 00:00:00.267624,0 days 00:00:00.005059
132,27,3,512,256,192,0.25,5,3,0 days 00:00:00.013147,0 days 00:01:10.935502,75.0,75.0,65,0 days 00:00:00.052888,0 days 00:00:00.289402,0 days 00:00:00.005081
133,27,3,512,256,192,0.25,5,4,0 days 00:00:00.013147,0 days 00:00:40.762274,7.000000000000001,53.0,35,0 days 00:00:00.055019,0 days 00:00:00.271131,0 days 00:00:00.005130
134,27,3,512,256,192,0.25,5,5,0 days 00:00:00.013147,0 days 00:00:53.708467,69.0,71.0,49,0 days 00:00:00.067688,0 days 00:00:00.270189,0 days 00:00:00.005008
135,28,3,512,256,192,0.25,7,1,0 days 00:00:00.013147,0 days 00:00:56.397343,52.0,66.0,34,0 days 00:00:00.051730,0 days 00:00:00.268759,0 days 00:00:00.009844
136,28,3,512,256,192,0.25,7,2,0 days 00:00:00.013147,0 days 00:01:34.164248,64.0,72.0,62,0 days 00:00:00.044641,0 days 00:00:00.282379,0 days 00:00:00.009841
137,28,3,512,256,192,0.25,7,3,0 days 00:00:00.013147,0 days 00:01:02.832429,67.0,70.0,40,0 days 00:00:00.058548,0 days 00:00:00.275748,0 days 00:00:00.009768
138,28,3,512,256,192,0.25,7,4,0 days 00:00:00.013147,0 days 00:01:32.275249,75.0,70.0,65,0 days 00:00:00.069099,0 days 00:00:00.269880,0 days 00:00:00.009696
139,28,3,512,256,192,0.25,7,5,0 days 00:00:00.013147,0 days 00:01:10.741673,75.0,74.0,46,0 days 00:00:00.052575,0 days 00:00:00.269846,0 days 00:00:00.009697
